epoch,loss,rmse_dist,rmse_x,rmse_y,total_loss,val_loss,val_rmse_dist,val_rmse_x,val_rmse_y,val_total_loss
0,0.18537861108779907,0.22672562301158905,0.07374884188175201,0.25566110014915466,0.18537861108779907,0.15788429975509644,0.18991084396839142,0.0709671750664711,0.21081344783306122,0.15723049640655518
1,0.14461378753185272,0.17388267815113068,0.07411055266857147,0.18584801256656647,0.14461378753185272,0.1326025128364563,0.15915364027023315,0.06923820078372955,0.16853435337543488,0.1323087513446808
2,0.12638063728809357,0.15832556784152985,0.0719551220536232,0.1488610953092575,0.12638063728809357,0.11910172551870346,0.15076319873332977,0.06856677681207657,0.13771957159042358,0.11901650577783585
3,0.11948435753583908,0.15132871270179749,0.07088763266801834,0.13623665273189545,0.11948435753583908,0.11374311149120331,0.15174749493598938,0.06681930273771286,0.12208570539951324,0.1135508269071579
4,0.11413214355707169,0.1480349600315094,0.06937739998102188,0.12498408555984497,0.11413214355707169,0.10864578932523727,0.1429867148399353,0.06746570765972137,0.11550696939229965,0.10865312814712524
5,0.11005506664514542,0.144945427775383,0.06819301843643188,0.11702687293291092,0.11005506664514542,0.1141718178987503,0.16449189186096191,0.06663411110639572,0.11036756634712219,0.11383119225502014
6,0.10538247972726822,0.14140821993350983,0.06794723868370056,0.10679184645414352,0.10538247972726822,0.10550113022327423,0.13620249927043915,0.08133935183286667,0.09890581667423248,0.1054825410246849
7,0.10400526225566864,0.14018525183200836,0.06610679626464844,0.10572368651628494,0.10400526225566864,0.10108159482479095,0.14508327841758728,0.06264100968837738,0.09498419612646103,0.10090282559394836
8,0.10071997344493866,0.13728295266628265,0.06555484980344772,0.09932220727205276,0.10071997344493866,0.09652893245220184,0.13554556667804718,0.06181808188557625,0.09266043454408646,0.09667468070983887
9,0.09887406975030899,0.1336754411458969,0.06421735137701035,0.09872937947511673,0.09887406975030899,0.09786117076873779,0.13448600471019745,0.06314744055271149,0.09548809379339218,0.09770716726779938
10,0.09684894979000092,0.13248062133789062,0.06368871033191681,0.09437747299671173,0.09684894979000092,0.10518014430999756,0.1283801794052124,0.06421557813882828,0.12294253706932068,0.10517942160367966
11,0.09534847736358643,0.12992200255393982,0.06288626044988632,0.09323710948228836,0.09534847736358643,0.09168396890163422,0.13115741312503815,0.05913921818137169,0.08545158803462982,0.09191606938838959
12,0.09333595633506775,0.12784023582935333,0.06271249800920486,0.08945503830909729,0.09333595633506775,0.09025343507528305,0.1299390345811844,0.0579192154109478,0.08262134343385696,0.09015985578298569
13,0.0928470715880394,0.1282876878976822,0.059623852372169495,0.09062974900007248,0.0928470715880394,0.09189145267009735,0.12787668406963348,0.05793006345629692,0.09060880541801453,0.09213852882385254
14,0.09172838926315308,0.12473955750465393,0.06022677943110466,0.09021887928247452,0.09172838926315308,0.08721885830163956,0.12228694558143616,0.05618978664278984,0.08376827836036682,0.08741500973701477
15,0.09036434441804886,0.12425720691680908,0.060601457953453064,0.08623442053794861,0.09036434441804886,0.09375552088022232,0.14452366530895233,0.05936936289072037,0.07878287136554718,0.09422530233860016
16,0.08913146704435349,0.12207983434200287,0.059579864144325256,0.08573470264673233,0.08913146704435349,0.09684588015079498,0.15111862123012543,0.05874894931912422,0.08208904415369034,0.09731888025999069
17,0.08831758797168732,0.12295617163181305,0.05861016362905502,0.08338646590709686,0.08831758797168732,0.08857807517051697,0.13052988052368164,0.05444382131099701,0.08020368963479996,0.088392473757267
18,0.08667654544115067,0.1188419908285141,0.05839914456009865,0.08278856426477432,0.08667654544115067,0.08517347276210785,0.11556969583034515,0.057497892528772354,0.08286574482917786,0.08531112223863602
19,0.0858224481344223,0.11689326912164688,0.056308578699827194,0.08426539599895477,0.0858224481344223,0.08616559207439423,0.12246061861515045,0.05342358723282814,0.08416600525379181,0.08668339252471924
20,0.08546628803014755,0.11673355102539062,0.05741123855113983,0.08225403726100922,0.08546628803014755,0.08401528745889664,0.11324497312307358,0.0626717135310173,0.07690246403217316,0.08427304774522781
21,0.08453535288572311,0.11568548530340195,0.05634336546063423,0.08157713711261749,0.08453535288572311,0.09213245660066605,0.11994460970163345,0.05365104228258133,0.10394282639026642,0.09251284599304199
22,0.08294183760881424,0.1149509996175766,0.05370136722922325,0.08017312735319138,0.08294183760881424,0.08161023259162903,0.1113273873925209,0.05252695083618164,0.08184672147035599,0.08190035074949265
23,0.08292070031166077,0.11436998844146729,0.05562334507703781,0.07876887917518616,0.08292070031166077,0.08279015868902206,0.11163995414972305,0.05711836367845535,0.08092615008354187,0.08322816342115402
24,0.08135180920362473,0.11170227825641632,0.053211089223623276,0.07914213091135025,0.08135180920362473,0.08433503657579422,0.11202213913202286,0.06683888286352158,0.07551433891057968,0.08479179441928864
25,0.08286167681217194,0.11440787464380264,0.055346857756376266,0.07883027195930481,0.08286167681217194,0.07955074310302734,0.10885092616081238,0.050204649567604065,0.080449178814888,0.07983491569757462
26,0.08127425611019135,0.11081105470657349,0.05271729826927185,0.08029436320066452,0.08127425611019135,0.09207740426063538,0.11545149236917496,0.05147939175367355,0.11121191084384918,0.09271426498889923
27,0.08040548115968704,0.1089945137500763,0.05236798897385597,0.07985395938158035,0.08040548115968704,0.07914602756500244,0.10727255046367645,0.057176075875759125,0.0743383839726448,0.0795956626534462
28,0.08000125735998154,0.11022990196943283,0.053024936467409134,0.07674890756607056,0.08000125735998154,0.0789095014333725,0.10919606685638428,0.04975152015686035,0.07894235104322433,0.07929665595293045
29,0.07784877717494965,0.10716403275728226,0.052137747406959534,0.07424452155828476,0.07784877717494965,0.08233637362718582,0.11875821650028229,0.04869930073618889,0.08149882405996323,0.08298545330762863
30,0.07895456999540329,0.10707827657461166,0.052030082792043686,0.07775533944368362,0.07895456999540329,0.07480140775442123,0.10683173686265945,0.04938451945781708,0.06868842244148254,0.07496821880340576
31,0.07792247831821442,0.10703570395708084,0.05208057537674904,0.07465109974145889,0.07792247831821442,0.08282577246427536,0.11444549262523651,0.05026713386178017,0.08363444358110428,0.08278235048055649
32,0.07657092064619064,0.10623293370008469,0.05015166103839874,0.07332815229892731,0.07657092064619064,0.07363994419574738,0.1030757874250412,0.04977119714021683,0.06934398412704468,0.07406365126371384
33,0.07957099378108978,0.10801034420728683,0.05230201408267021,0.07840057462453842,0.07957099378108978,0.08830200880765915,0.1197766587138176,0.0515497550368309,0.09311790019273758,0.08814810961484909
34,0.07642842829227448,0.10501457005739212,0.0511631965637207,0.07310745865106583,0.07642842829227448,0.07559888064861298,0.10347006469964981,0.05760325491428375,0.06716807931661606,0.07608047872781754
35,0.07660841196775436,0.10465309768915176,0.05000508949160576,0.07516700774431229,0.07660841196775436,0.07455755770206451,0.10110002011060715,0.04689987003803253,0.07680238783359528,0.07493409514427185
36,0.0774158239364624,0.11022154986858368,0.05056888610124588,0.07145712524652481,0.0774158239364624,0.07728039473295212,0.10997365415096283,0.04720336198806763,0.07501716166734695,0.07739806175231934
37,0.07506557554006577,0.10520429164171219,0.04944783076643944,0.07054460048675537,0.07506557554006577,0.07887572795152664,0.10601301491260529,0.046657174825668335,0.08538892865180969,0.07935302704572678
38,0.07527349889278412,0.10316289961338043,0.049075353890657425,0.07358215749263763,0.07527349889278412,0.07741603255271912,0.11597569286823273,0.04920707643032074,0.06679458916187286,0.07732579112052917
39,0.075896255671978,0.10190992057323456,0.051110077649354935,0.074668750166893,0.075896255671978,0.07461294531822205,0.1090686097741127,0.04941566288471222,0.06699629873037338,0.0751601979136467
40,0.0736401155591011,0.10227236896753311,0.04858151078224182,0.07006639987230301,0.0736401155591011,0.0768212378025055,0.11011113226413727,0.05517414212226868,0.06686665117740631,0.07738398015499115
41,0.07434488087892532,0.10373586416244507,0.048280034214258194,0.07101878523826599,0.07434488087892532,0.07375717163085938,0.10609163343906403,0.048330336809158325,0.06722713261842728,0.07388302683830261
42,0.07464085519313812,0.10259776562452316,0.04918899014592171,0.07213568687438965,0.07464085519313812,0.07035098969936371,0.09820309281349182,0.04540456458926201,0.06884554773569107,0.0708177387714386
43,0.07281220704317093,0.09900745749473572,0.04840324819087982,0.07102581858634949,0.07281220704317093,0.07235493510961533,0.09771367907524109,0.04529794305562973,0.07482703775167465,0.07261288166046143
44,0.0719698816537857,0.09881821274757385,0.048065003007650375,0.0690264031291008,0.0719698816537857,0.0744294673204422,0.09863205254077911,0.04506466165184975,0.08130556344985962,0.07500076293945312
45,0.07344000041484833,0.09950704872608185,0.04780912026762962,0.07300378382205963,0.07344000041484833,0.07176877558231354,0.09681979566812515,0.0493609793484211,0.07031893730163574,0.0721665769815445
46,0.07227706164121628,0.10020367801189423,0.04756200686097145,0.06906551867723465,0.07227706164121628,0.07544627040624619,0.09619370102882385,0.05853161960840225,0.07281918823719025,0.07584816217422485
47,0.0743265450000763,0.10307889431715012,0.04803106561303139,0.07186983525753021,0.0743265450000763,0.07158408313989639,0.09923390299081802,0.04844211786985397,0.0675622895359993,0.0717461109161377
48,0.07209264487028122,0.10020055621862411,0.04708771035075188,0.06898946315050125,0.07209264487028122,0.06936772912740707,0.09621208906173706,0.0441490113735199,0.06877128034830093,0.06971079111099243
49,0.07033132761716843,0.09696401655673981,0.04780504107475281,0.06622495502233505,0.07033132761716843,0.06793025881052017,0.09497527033090591,0.04571273922920227,0.0642489418387413,0.06831232458353043
50,0.07040572911500931,0.09764710068702698,0.04711763560771942,0.06645243614912033,0.07040572911500931,0.07077871263027191,0.09489307552576065,0.04473084956407547,0.07390119880437851,0.07117503881454468
51,0.07118344306945801,0.09741152822971344,0.04738043248653412,0.06875839084386826,0.07118344306945801,0.06933924555778503,0.09696990996599197,0.043962251394987106,0.06789743155241013,0.0696098580956459
52,0.07011022418737411,0.09738865494728088,0.04568532854318619,0.06725684553384781,0.07011022418737411,0.06602375954389572,0.09378299862146378,0.04340942203998566,0.06199962645769119,0.06639736145734787
53,0.06942528486251831,0.0953981876373291,0.0454067625105381,0.067470982670784,0.06942528486251831,0.08268491923809052,0.09349475800991058,0.056705545634031296,0.09885825961828232,0.08301950991153717
54,0.06954967230558395,0.09454356878995895,0.04585005342960358,0.06825542449951172,0.06954967230558395,0.07110074907541275,0.0977586880326271,0.05552919581532478,0.061658550053834915,0.07164881378412247
55,0.07131822407245636,0.09776731580495834,0.046541985124349594,0.06964536756277084,0.07131822407245636,0.07182959467172623,0.1085372045636177,0.043277788907289505,0.06564096361398697,0.07248532027006149
56,0.07060796022415161,0.09801066666841507,0.047183807939291,0.06662949919700623,0.07060796022415161,0.06881240010261536,0.0938071608543396,0.04718882963061333,0.06672181934118271,0.06923926621675491
57,0.06861134618520737,0.09428390860557556,0.04597467556595802,0.06557556241750717,0.06861134618520737,0.07183083146810532,0.0924791619181633,0.04822813346982002,0.0762493908405304,0.072318896651268
58,0.06857872009277344,0.09438813477754593,0.044602829962968826,0.06674520671367645,0.06857872009277344,0.0650256797671318,0.09181607514619827,0.04269340634346008,0.06159855052828789,0.06536933779716492
